EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE                ACTOR               TITLE
 4016051844 110930 | labeled | 2020-11-19T14:11:57Z | jrieken | Undo/redo, bulk edit and onWill-file events
 4016051843 110930 | labeled | 2020-11-19T14:11:57Z | jrieken | Undo/redo, bulk edit and onWill-file events
 4016042863 110930 | labeled | 2020-11-19T14:10:11Z | jrieken | Undo/redo, bulk edit and onWill-file events
 4016042113 110930 | head_ref_deleted | 2020-11-19T14:10:02Z | jrieken | Undo/redo, bulk edit and onWill-file events
 4016042040 110930 | closed | 2020-11-19T14:10:01Z | jrieken | Undo/redo, bulk edit and onWill-file events
 4016042019 110930 | merged | 2020-11-19T14:10:00Z | jrieken | Undo/redo, bulk edit and onWill-file events
 4016042015 110930 | referenced | 2020-11-19T14:10:00Z | jrieken | Undo/redo, bulk edit and onWill-file events
 4016015623 110947 | assigned | 2020-11-19T14:04:39Z | chrmarti | Ability to reposition the quick access icons in the bottom bar.
 4016015546 110948 | assigned | 2020-11-19T14:04:38Z | mjbvz | Switching editor groups multiple times from Markdown preview locks keyboard input
 4015937903 24166 | subscribed | 2020-11-19T13:49:12Z | alexdima | KDE: Reading keyboard layout reads the wrong one
 4015937897 24166 | mentioned | 2020-11-19T13:49:12Z | alexdima | KDE: Reading keyboard layout reads the wrong one
 4015846310 107740 | assigned | 2020-11-19T13:29:41Z | jrieken | Undo of rename Java file has no effect
 4015845905 107740 | subscribed | 2020-11-19T13:29:35Z | testforstephen | Undo of rename Java file has no effect
 4015845899 107740 | mentioned | 2020-11-19T13:29:35Z | testforstephen | Undo of rename Java file has no effect
 4015845887 107740 | subscribed | 2020-11-19T13:29:35Z | jrieken | Undo of rename Java file has no effect
 4015845881 107740 | mentioned | 2020-11-19T13:29:35Z | jrieken | Undo of rename Java file has no effect
 4015261947 15452 | subscribed | 2020-11-19T11:07:47Z | lloeki | Support per-window variable environments
 4015261942 15452 | mentioned | 2020-11-19T11:07:47Z | lloeki | Support per-window variable environments
